Date,Predicted Stock Price
2024-12-09,27313.879
2024-12-10,26980.342
2024-12-11,27190.68
2024-12-12,27371.525
2024-12-13,27371.238
2024-12-16,27160.951
2024-12-17,26943.809
2024-12-18,26653.258
2024-12-19,26605.8
2024-12-20,27008.486
